FIPS_COUNTY,COUNTY_NAME,AVG_WEEKLY_WAGE
01001,"Autauga County, Alabama",802
01003,"Baldwin County, Alabama",717
01005,"Barbour County, Alabama",727
01007,"Bibb County, Alabama",785
01009,"Blount County, Alabama",683
01011,"Bullock County, Alabama",673
01013,"Butler County, Alabama",659
01015,"Calhoun County, Alabama",794
01017,"Chambers County, Alabama",745
01019,"Cherokee County, Alabama",658
01021,"Chilton County, Alabama",741
01023,"Choctaw County, Alabama",1028
01025,"Clarke County, Alabama",789
01027,"Clay County, Alabama",661
01029,"Cleburne County, Alabama",757
01031,"Coffee County, Alabama",655
01033,"Colbert County, Alabama",854
01035,"Conecuh County, Alabama",699
01037,"Coosa County, Alabama",695
01039,"Covington County, Alabama",693
01041,"Crenshaw County, Alabama",709
01043,"Cullman County, Alabama",739
01045,"Dale County, Alabama",1069
01047,"Dallas County, Alabama",771
01049,"DeKalb County, Alabama",708
01051,"Elmore County, Alabama",704
01053,"Escambia County, Alabama",770
01055,"Etowah County, Alabama",711
01057,"Fayette County, Alabama",636
01059,"Franklin County, Alabama",694
01061,"Geneva County, Alabama",613
01063,"Greene County, Alabama",647
01065,"Hale County, Alabama",706
01067,"Henry County, Alabama",783
01069,"Houston County, Alabama",836
01071,"Jackson County, Alabama",687
01073,"Jefferson County, Alabama",1150
01075,"Lamar County, Alabama",778
01077,"Lauderdale County, Alabama",674
01079,"Lawrence County, Alabama",670
01081,"Lee County, Alabama",773
01083,"Limestone County, Alabama",917
01085,"Lowndes County, Alabama",907
01087,"Macon County, Alabama",830
01089,"Madison County, Alabama",1206
01091,"Marengo County, Alabama",812
01093,"Marion County, Alabama",674
01095,"Marshall County, Alabama",717
01097,"Mobile County, Alabama",916
01099,"Monroe County, Alabama",866
01101,"Montgomery County, Alabama",882
01103,"Morgan County, Alabama",921
01105,"Perry County, Alabama",616
01107,"Pickens County, Alabama",735
01109,"Pike County, Alabama",769
01111,"Randolph County, Alabama",645
01113,"Russell County, Alabama",751
01115,"St. Clair County, Alabama",753
01117,"Shelby County, Alabama",1147
01119,"Sumter County, Alabama",737
01121,"Talladega County, Alabama",858
01123,"Tallapoosa County, Alabama",645
01125,"Tuscaloosa County, Alabama",900
01127,"Walker County, Alabama",771
01129,"Washington County, Alabama",1312
01131,"Wilcox County, Alabama",905
01133,"Winston County, Alabama",721
01999,"Unknown Or Undefined, Alabama",1441
02013,"Aleutians East Borough, Alaska",1100
02016,"Aleutians West Census Area, Alaska",1111
02020,"Anchorage Municipality, Alaska",1159
02050,"Bethel Census Area, Alaska",879
02060,"Bristol Bay Borough, Alaska",966
02068,"Denali Borough, Alaska",1297
02070,"Dillingham Census Area, Alaska",898
02090,"Fairbanks North Star Borough, Alaska",1001
02100,"Haines Borough, Alaska",1049
02105,"Hoonah-Angoon Census Area, Alaska",650
02110,"Juneau City and Borough, Alaska",996
02122,"Kenai Peninsula Borough, Alaska",971
02130,"Ketchikan Gateway Borough, Alaska",920
02150,"Kodiak Island Borough, Alaska",889
02158,"Kusilvak Census Area, Alaska",611
02164,"Lake and Peninsula Borough, Alaska",639
02170,"Matanuska-Susitna Borough, Alaska",816
02180,"Nome Census Area, Alaska",918
02185,"North Slope Borough, Alaska",2306
02188,"Northwest Arctic Borough, Alaska",1542
02195,"Petersburg Borough, Alaska",725
02198,"Prince of Wales-Hyder Census Area, Alaska",732
02220,"Sitka City and Borough, Alaska",873
02230,"Skagway Municipality, Alaska",822
02240,"Southeast Fairbanks Census Area, Alaska",1338
02261,"Valdez-Cordova Census Area, Alaska",1197
02275,"Wrangell City and Borough, Alaska",704
02282,"Yakutat City and Borough, Alaska",826
02290,"Yukon-Koyukuk Census Area, Alaska",703
02999,"Unknown Or Undefined, Alaska",1316
04001,"Apache County, Arizona",855
04003,"Cochise County, Arizona",883
04005,"Coconino County, Arizona",828
04007,"Gila County, Arizona",820
04009,"Graham County, Arizona",845
04011,"Greenlee County, Arizona",1480
04012,"La Paz County, Arizona",720
04013,"Maricopa County, Arizona",1118
04015,"Mohave County, Arizona",736
04017,"Navajo County, Arizona",736
04019,"Pima County, Arizona",945
04021,"Pinal County, Arizona",827
04023,"Santa Cruz County, Arizona",864
04025,"Yavapai County, Arizona",758
04027,"Yuma County, Arizona",742
04999,"Unknown Or Undefined, Arizona",1925
05001,"Arkansas County, Arkansas",746
05003,"Ashley County, Arkansas",872
05005,"Baxter County, Arkansas",678
05007,"Benton County, Arkansas",1496
05009,"Boone County, Arkansas",720
05011,"Bradley County, Arkansas",682
05013,"Calhoun County, Arkansas",1194
05015,"Carroll County, Arkansas",589
05017,"Chicot County, Arkansas",613
05019,"Clark County, Arkansas",688
05021,"Clay County, Arkansas",565
05023,"Cleburne County, Arkansas",623
05025,"Cleveland County, Arkansas",569
05027,"Columbia County, Arkansas",781
05029,"Conway County, Arkansas",749
05031,"Craighead County, Arkansas",780
05033,"Crawford County, Arkansas",704
05035,"Crittenden County, Arkansas",715
