Latitude,Longitude,FIPS_COUNTY
34.2553,-87.1814,01133
32.9453,-85.9481,01123
33.1272,-88.155,01107
31.3072,-86.5225,01039
34.9092,-87.2747,01077
33.2942,-85.7789,01027
34.7753,-86.9508,01083
31.1819,-87.4389,01053
32.5992,-85.4653,01081
32.6,-85.5,01081
33.4528,-87.3572,01125
30.8839,-87.7853,01003
34.6908,-86.8825,01083
33.3953,-87.0078,01073
31.1414,-87.0486,01053
31.0581,-87.0547,01053
34.9786,-85.8008,01071
32.0289,-87.3167,01131
32.8236,-85.6561,01123
34.15,-85.6847,01019
31.4714,-88.2503,01129
33.285,-86.3431,01121
32.8203,-86.6522,01021
31.8708,-85.45,01005
30.3878,-88.2281,01097
34.1925,-86.7972,01043
30.2506,-88.0775,01097
34.5569,-86.9503,01103
32.5192,-87.88,01091
31.2975,-85.8997,01031
32.0111,-85.09,01005
31.445,-86.9533,01035
30.5467,-87.8808,01003
34.3667,-86.8833,01103
33.6847,-87.8214,01057
34.4406,-85.7236,01049
31.3894,-87.4203,01099
34.0219,-85.9878,01055
32.8347,-88.1342,01063
31.0383,-85.8708,01061
32.7019,-87.5817,01065
31.79,-86.6086,01013
34.3344,-86.3297,01095
34.3347,-86.3294,01095
34.2314,-87.6353,01093
34.0967,-87.9914,01093
34.0675,-86.7917,01043
31.3625,-85.3397,01067
33.6483,-85.6006,01029
33.2725,-86.8336,01117
31.8814,-86.2503,01041
31.5253,-87.9278,01025
33.9047,-87.3153,01127
32.9069,-85.4336,01017
32.5811,-88.1897,01119
32.4714,-87.2314,01047
32.6667,-85.9167,01051
32.4419,-85.8889,01087
32.26,-86.2181,01101
34.4883,-87.2989,01079
34.7889,-87.5394,01033
33.3264,-86.7561,01117
33.9478,-86.4692,01009
32.6592,-85.4492,01081
34.5528,-86.445,01089
33.6906,-86.685,01073
30.5653,-87.7017,01003
32.8711,-86.1758,01037
33.1581,-85.2911,01111
34.51,-87.7319,01059
34.1736,-86.8133,01043
34.2878,-85.9681,01049
34.6736,-86.0536,01071
32.4111,-87.0144,01047
33.2053,-86.2114,01121
33.4164,-86.135,01121
31.9172,-87.7347,01025
32.9206,-86.6708,01021
31.8075,-85.9722,01109
33.2119,-87.6161,01125
32.0142,-85.7464,01011
34.5667,-85.6128,01049
33.7392,-88.1275,01075
34.2447,-86.9586,01043
32.5906,-86.2103,01051
31.6508,-87.7097,01025
33.9111,-87.8475,01057
33.9433,-113.1875,04013
32.3697,-112.86,04019
34.2281,-113.5778,04012
33.8492,-109.1469,04001
33.6392,-109.3278,04011
31.9792,-111.3831,04019
33.4625,-111.4814,04021
32.7306,-111.6917,04021
34.5972,-113.1739,04025
33.8097,-111.6497,04013
34.6417,-111.7831,04025
36.8969,-113.9425,04015
35.23,-111.8214,04005
31.8806,-110.2403,04003
36.6778,-110.5411,04017
31.4475,-109.9289,04003
33.4783,-109.7517,04009
34.6108,-111.1922,04005
33.9431,-114.0242,04012
32.325,-109.4917,04003
36.2147,-112.062,04005
33.3761,-112.5828,04013
35.1411,-114.5686,04015
35.8833,-111.4,04005
31.5589,-110.5294,04023
36.1533,-109.5394,04001
33.8161,-111.9019,04013
32.8878,-111.7117,04021
32.9947,-111.5367,04021
32.3222,-110.4147,04003
33.9825,-112.3617,04025
32.4178,-110.9303,04019
33.2058,-111.6819,04013
34.54,-110.9153,04005
34.3494,-111.6981,04025
34.7569,-112.4567,04025
32.0061,-109.3572,04003
33.0561,-109.3072,04011
36.9936,-112.9719,04015
34.305,-112.165,04025
31.3456,-110.2542,04003
34.2097,-112.3453,04025
32.9711,-113.4981,04027
35.2947,-113.3664,04015
31.345,-109.5394,04003
32.7481,-109.1214,04011
33.4192,-111.6444,04013
33.6133,-114.4706,04012
32.7819,-111.5186,04021
35.1611,-111.7311,04005
33.0364,-111.3881,04021
32.6231,-109.9428,04009
33.0094,-109.9855,04009
35.2681,-111.7428,04005
33.6028,-111.7131,04013
36.9414,-112.5258,04005
35.7164,-109.5661,04001
32.9481,-112.7131,04013
33.3767,-110.7711,04007
36.0528,-112.1503,04005
31.8931,-110.9978,04019
34.0219,-109.4519,04001
34.7433,-111.4139,04005
34.3925,-110.5581,04017
34.47,-112.8881,04025
34.9094,-110.1544,04017
34.7522,-112.1114,04025
35.8111,-110.1917,04017
35.2,-114.0167,04015
31.96,-111.5972,04019
35.55,-109.7,04001
33.2742,-113.9653,04027
34.45,-114.3667,04015
34.5031,-114.3603,04015
33.3369,-112.1472,04013
36.8644,-111.6022,04005
33.4992,-112.3631,04013
36.4192,-109.2269,04001
33.1139,-112.0303,04021
34.1142,-109.8589,04001
36.0183,-114.0681,04015
33.4044,-110.87,04007
34.6106,-111.8381,04025
36.9853,-110.12,04017
33.5544,-111.4425,04013
34.9364,-111.6392,04005
34.3222,-111.4533,04007
31.4553,-110.9681,04023
34.9589,-111.7553,04005
32.6025,-110.7344,04021
31.9556,-112.8003,04019
36.9208,-111.4483,04005
35.0681,-109.7689,04001
33.0772,-113.0317,04013
31.9353,-109.2186,04003
34.1547,-114.2897,04012
31.9356,-109.8378,04003
34.7994,-109.885,04017
36.1383,-112.0958,04005
32.6464,-111.4017,04021
34.1167,-109.9333,04017
34.1242,-109.9219,04017
33.7275,-111.8606,04013
36.8586,-112.7386,04015
34.0989,-110.9442,04007
31.8828,-109.2058,04003
34.5706,-112.4322,04025
33.8556,-111.3064,04007
33.665,-114.2272,04012
33.6731,-111.1508,04007
33.0722,-111.7661,04021
32.815,-109.6808,04009
34.5172,-109.4028,04001
33.1819,-110.5261,04007
35.2239,-109.3222,04001
32.2714,-109.2256,04003
31.7625,-110.8464,04019
31.4831,-111.5436,04019
31.5717,-111.5056,04019
34.8956,-111.7644,04005
35.3322,-112.8797,04025
34.2639,-110.0075,04017
31.5553,-110.2847,04003
34.5081,-110.0839,04017
34.5,-110.3333,04017
33.3814,-112.07,04013
34.1311,-109.275,04001
33.5575,-111.5358,04013
35.3694,-111.5436,04005
33.3003,-111.0972,04021
32.7225,-113.9192,04027
36.9233,-109.09,04001
33.4258,-111.9217,04013
36.03,-114.3289,04015
31.7119,-110.0686,04003
33.4203,-112.86,04013
36.1306,-111.2436,04005
32.2542,-111.1961,04019
32.2817,-110.9442,04019
32.25,-110.8333,04019
32.2292,-110.9536,04019
32.2581,-111.0053,04019
31.5678,-111.0497,04023
34.7706,-112.0264,04025
36.9953,-111.4914,04005
35.1706,-111.5067,04005
34.9281,-112.8097,04025
33.8214,-109.9839,04017
33.9792,-112.7403,04013
34.7061,-113.6136,04015
32.2553,-109.8369,04003
35.2406,-112.1903,04005
35.8686,-114.6611,04015
35.6169,-109.1244,04001
33.7478,-112.5983,04013
35.5247,-111.3703,04005
33.595,-112.3014,04013
34.8775,-114.1344,04015
32.6114,-114.635,04027
32.7278,-114.6217,04027
35.9289,-91.0583,05075
34.7961,-92.8417,05125
34.1433,-93.0589,05019
34.025,-91.3444,05001
35.8306,-91.7944,05063
35.76,-91.6389,05063
35.4583,-91.0561,05067
34.5675,-92.6006,05125
36.3219,-94.215,05007
36.3603,-93.5514,05015
34.4619,-93.9983,05113
34.5697,-93.1947,05051
35.1161,-93.6506,05149
35.9239,-89.9044,05093
35.0931,-93.9258,05083
34.8822,-91.2153,05095
34.9817,-92.0064,05085
36.1092,-92.1636,05065
33.3111,-92.485,05139
33.59,-92.8236,05103
33.9153,-91.7711,05079
34.68,-91.2208,05095
35.4833,-93.45,05071
35.5328,-93.4036,05071
35.4564,-93.4425,05071
35.0833,-92.4294,05045
36.4197,-90.5858,05021
33.1111,-91.9481,05003
35.2342,-93.1675,05149
35.8272,-93.2044,05101
34.0464,-94.3481,05133
33.5597,-91.385,05017
34.9772,-91.4978,05117
33.8847,-91.5317,05041
33.1144,-91.2628,05017
36.4164,-93.7917,05015
36.0717,-91.6169,05135
36.1006,-94.1744,05143
33.8228,-92.3989,05039
35.9914,-92.7147,05129
