,STNID,min,min_05,max_95,max,Latitude,Longitude,Name,FIPS_COUNTY,COUNTY_NAME,AVG_WEEKLY_WAGE
0,USC00010063,28.5,30.15,88.9,90.1,34.2553,-87.1814,ADDISON,01133,"Winston County, Alabama",721
1,USC00010160,31.4,32.25,90.35,90.9,32.9453,-85.9481,ALEXANDER CITY,01123,"Tallapoosa County, Alabama",645
2,USC00011324,25.8,27.799999999999997,91.0,91.7,32.8236,-85.6561,CAMP HILL 2NW,01123,"Tallapoosa County, Alabama",645
3,USC00010178,31.0,31.75,92.3,92.7,33.1272,-88.155,ALICEVILLE,01107,"Pickens County, Alabama",735
4,USC00010252,31.9,33.1,91.4,91.8,31.3072,-86.5225,ANDALUSIA 3 W,01039,"Covington County, Alabama",693
5,USW00053843,38.4,40.05,91.45,92.2,31.3089,-86.3939,ANDALUSIA OPP AP,01039,"Covington County, Alabama",693
6,USW00063870,37.8,39.650000000000006,91.6,91.8,31.0425,-86.3117,FLORALA MUNI AP,01039,"Covington County, Alabama",693
7,USC00010260,26.4,27.3,89.2,89.8,34.9092,-87.2747,ANDERSON,01077,"Lauderdale County, Alabama",674
8,USC00010369,29.4,30.5,89.55,89.9,33.2942,-85.7789,ASHLAND 3 ENE,01027,"Clay County, Alabama",661
9,USC00010390,29.8,31.2,89.5,90.2,34.7753,-86.9508,ATHENS,01083,"Limestone County, Alabama",917
10,USC00010655,27.3,28.2,90.7,91.2,34.6908,-86.8825,BELLE MINA 2 N,01083,"Limestone County, Alabama",917
11,USW00053852,30.7,31.9,90.3,90.7,34.6525,-86.9453,DECATUR PRYOR FLD,01083,"Limestone County, Alabama",917
12,USC00010402,36.9,37.849999999999994,90.95,91.3,31.1819,-87.4389,ATMORE,01053,"Escambia County, Alabama",770
13,USC00011080,35.1,36.0,91.0,91.3,31.1414,-87.0486,BREWTON 3 ENE,01053,"Escambia County, Alabama",770
14,USC00011084,36.3,37.150000000000006,91.5,91.9,31.0581,-87.0547,BREWTON 3 SSE,01053,"Escambia County, Alabama",770
15,USW00063899,35.8,37.45,90.1,90.8,31.145,-87.0517,BREWTON 3 NNE,01053,"Escambia County, Alabama",770
16,USC00010425,32.2,34.3,89.8,90.5,32.5992,-85.4653,AUBURN NO.2,01081,"Lee County, Alabama",773
17,USC00010430,33.5,34.6,90.3,91.1,32.6,-85.5,AUBURN AGRONOMY FARM,01081,"Lee County, Alabama",773
18,USC00016129,31.8,32.75,89.5,90.1,32.6592,-85.4492,OPELIKA,01081,"Lee County, Alabama",773
19,USC00010505,31.9,33.45,91.0,91.1,33.4528,-87.3572,BANKHEAD LOCK & DAM,01125,"Tuscaloosa County, Alabama",900
20,USC00018380,34.6,35.75,92.7,92.9,33.2119,-87.6161,TUSCALOOSA ACFD,01125,"Tuscaloosa County, Alabama",900
21,USC00018380,34.6,35.75,92.7,92.9,33.2119,-87.6161,TUSCALOOSA ACFD,01125,"Tuscaloosa County, Alabama",900
22,USW00093806,33.5,34.7,92.1,92.3,33.2119,-87.6161,TUSCALOOSA MUNI AP,01125,"Tuscaloosa County, Alabama",900
23,USW00093806,33.5,34.7,92.1,92.3,33.2119,-87.6161,TUSCALOOSA MUNI AP,01125,"Tuscaloosa County, Alabama",900
24,USC00010583,38.8,39.849999999999994,90.1,90.3,30.8839,-87.7853,BAY MINETTE,01003,"Baldwin County, Alabama",717
25,USC00012813,39.3,40.25,91.1,91.2,30.5467,-87.8808,FAIRHOPE 2 NE,01003,"Baldwin County, Alabama",717
26,USC00016988,37.9,38.849999999999994,90.3,90.7,30.5653,-87.7017,ROBERTSDALE,01003,"Baldwin County, Alabama",717
27,USW00063869,36.8,38.3,89.4,89.7,30.5486,-87.8758,FAIRHOPE 3 NE,01003,"Baldwin County, Alabama",717
28,USC00010764,32.6,33.650000000000006,90.9,91.2,33.3953,-87.0078,BESSEMER 3 WSW,01073,"Jefferson County, Alabama",1150
29,USC00016478,29.8,30.95,89.7,90.1,33.6906,-86.685,PINSON,01073,"Jefferson County, Alabama",1150
30,USW00013876,33.5,34.650000000000006,90.75,91.1,33.5656,-86.745,BIRMINGHAM AP,01073,"Jefferson County, Alabama",1150
31,USC00011099,27.3,28.5,88.65,89.1,34.9786,-85.8008,BRIDGEPORT 5 NW,01071,"Jackson County, Alabama",687
32,USC00017304,28.3,29.4,90.4,90.7,34.6736,-86.0536,SCOTTSBORO,01071,"Jackson County, Alabama",687
33,USW00063896,28.9,29.65,88.7,89.2,34.6942,-85.9997,SCOTTSBORO 2 NE,01071,"Jackson County, Alabama",687
34,USC00011301,34.9,35.9,91.6,91.9,32.0289,-87.3167,CAMDEN 3 NW,01131,"Wilcox County, Alabama",905
35,USC00011490,27.7,28.55,90.0,90.5,34.15,-85.6847,CENTRE,01019,"Cherokee County, Alabama",658
36,USC00011566,32.8,33.650000000000006,92.4,93.1,31.4714,-88.2503,CHATOM,01129,"Washington County, Alabama",1312
37,USC00011620,32.4,33.55,91.2,91.4,33.285,-86.3431,CHILDERSBURG WTR PL,01121,"Talladega County, Alabama",858
38,USC00017999,30.6,31.45,89.9,90.3,33.2053,-86.2114,SYLACAUGA 4 NE,01121,"Talladega County, Alabama",858
39,USC00018024,29.4,30.55,90.7,90.9,33.4164,-86.135,TALLADEGA,01121,"Talladega County, Alabama",858
40,USW00073803,30.8,32.25,90.15,90.5,33.5722,-86.0572,TALLADEGA 10 NNE,01121,"Talladega County, Alabama",858
41,USC00011694,32.0,32.95,89.95,90.4,32.8203,-86.6522,CLANTON,01021,"Chilton County, Alabama",741
42,USC00018209,34.2,35.25,90.2,90.6,32.9206,-86.6708,THORSBY EXP STN,01021,"Chilton County, Alabama",741
43,USW00063891,31.9,33.75,89.9,91.0,32.8517,-86.6114,CLANTON 2 NE,01021,"Chilton County, Alabama",741
44,USC00011725,31.8,32.9,90.9,91.4,31.8708,-85.45,CLAYTON,01005,"Barbour County, Alabama",727
45,USC00012730,36.1,37.0,92.9,93.4,32.0111,-85.09,EUFAULA WILDLIFE REF,01005,"Barbour County, Alabama",727
46,USW00063872,33.4,35.0,92.8,93.3,31.9514,-85.1289,WEEDON FLD AP,01005,"Barbour County, Alabama",727
47,USC00011803,38.6,39.75,88.4,88.6,30.3878,-88.2281,CODEN,01097,"Mobile County, Alabama",916
48,USC00012172,45.3,46.3,89.1,89.4,30.2506,-88.0775,DAUPHIN ISLAND #2,01097,"Mobile County, Alabama",916
49,USW00013838,40.0,41.5,90.5,90.7,30.6264,-88.0681,MOBILE DWTN AP,01097,"Mobile County, Alabama",916
50,USW00013894,39.7,40.849999999999994,90.9,91.2,30.6794,-88.2397,MOBILE,01097,"Mobile County, Alabama",916
51,USC00012096,28.0,29.7,88.5,88.8,34.1925,-86.7972,CULLMAN NAHS,01043,"Cullman County, Alabama",739
52,USC00013655,30.0,30.6,90.3,90.5,34.0675,-86.7917,HANCEVILLE,01043,"Cullman County, Alabama",739
53,USC00017157,27.2,28.45,91.6,92.0,34.1736,-86.8133,SAINT BERNARD,01043,"Cullman County, Alabama",739
54,USC00018812,30.0,31.4,88.3,89.3,34.2447,-86.9586,WEST POINT,01043,"Cullman County, Alabama",739
55,USW00063867,29.5,30.45,88.2,88.9,34.1953,-86.7964,CULLMAN 3 ENE,01043,"Cullman County, Alabama",739
56,USC00012209,31.5,32.6,87.5,88.3,34.5569,-86.9503,DECATUR 5SE,01103,"Morgan County, Alabama",921
57,USC00012840,29.1,29.4,90.8,91.3,34.3667,-86.8833,FALKVILLE 1 E,01103,"Morgan County, Alabama",921
58,USC00012245,31.8,32.8,90.8,91.4,32.5192,-87.88,DEMOPOLIS L&D,01091,"Marengo County, Alabama",812
59,USC00012675,37.7,38.95,91.2,91.6,31.2975,-85.8997,ENTERPRISE 4 W,01031,"Coffee County, Alabama",655
60,USC00012758,35.4,36.4,90.8,91.1,31.445,-86.9533,EVERGREEN,01035,"Conecuh County, Alabama",699
